slug,name,family,regime,n,far,coverage,h_mean,h_max,h_cv,grain,slender,concentration
caoyang,曹杨新村街道,单位/工人新村,current,1654,1.8367120876860068,0.2703104717399283,22.09720353607417,106.51443299999983,0.7188003147844354,261.86502390715066,1.0318220791078385,0.16973030787954083
caoyang,曹杨新村街道,单位/工人新村,developer_led,1692,3.7314678608654086,0.22173342500334917,82.59401912312846,426.0577319999993,0.7814166720284568,136.6506727222784,5.766363222517494,0.20646223347698614
caoyang,曹杨新村街道,单位/工人新村,state_led,1654,1.8538994773718793,0.2703104717399283,21.275566040644037,480.0137949630197,1.8190842364617672,261.86502390715066,0.670317926703385,0.4946011566535696
caoyang,曹杨新村街道,单位/工人新村,resident_self_build,5483,0.9285991829291186,0.19624327171171935,15.023321613338197,92.28936633333319,0.2631430026756294,60.080583495546406,1.8504351620853647,0.21542537088818678
caoyang,曹杨新村街道,单位/工人新村,developer_scale_graded,1654,2.1217332410627,0.3030752371886386,22.09720353607417,106.51443299999983,0.7188003147844354,273.3072992478084,1.0088335309625815,0.1707341372723657
caoyang,曹杨新村街道,单位/工人新村,shared,1654,1.4826091860767903,0.17475129173427698,29.33226698657799,72.05155499999992,0.2749468669959537,166.83620926926355,2.199318276620219,0.1802127713992289
dapuqiao,打浦桥街道,居民/里弄+田子坊,current,1370,2.796882385639976,0.27951849638918447,33.69875684428224,176.14076633333357,0.696313551204047,216.70418003489812,1.7885788295030727,0.3431099259646948
dapuqiao,打浦桥街道,居民/里弄+田子坊,developer_led,1400,6.0302039669817935,0.28986738198798306,117.8535035147619,480.0,0.8032920585430279,125.67572328528131,8.127571229757534,0.3226466024986237
dapuqiao,打浦桥街道,居民/里弄+田子坊,state_led,1370,2.8158701069524277,0.27951849638918447,36.10215322257188,576.0289128464055,1.6801229681685135,216.70418003489812,1.1189980969171187,0.5499092766287339
dapuqiao,打浦桥街道,居民/里弄+田子坊,resident_self_build,4137,1.2872925221967555,0.21232755736837372,16.752272993473532,95.56816633333334,0.5039771252143197,61.086056668763305,1.9021897847935032,0.29513676329211846
dapuqiao,打浦桥街道,居民/里弄+田子坊,developer_scale_graded,1370,3.770479280463669,0.35291465871257655,33.69875684428224,176.14076633333357,0.696313551204047,252.48408755696624,1.621639865727809,0.4025800676350181
dapuqiao,打浦桥街道,居民/里弄+田子坊,shared,1370,2.3604399865797214,0.1885470204649781,43.83209857005676,88.83132738888887,0.2789002195984596,140.9863853881385,3.5895070631821033,0.29528669628775767
kongjiang,控江路街道,单位/工人新村,current,1610,1.806359942385891,0.2696716992001928,22.800880577639752,90.45029966666682,0.6002386242607687,296.4162484632029,1.062885338680537,0.23776440572526117
kongjiang,控江路街道,单位/工人新村,developer_led,1638,3.509694610108553,0.18621053966850845,86.7061426121286,361.8011986666673,0.6454313990137052,144.99049022449094,5.993135508160575,0.2558650500315891
kongjiang,控江路街道,单位/工人新村,state_led,1610,1.8131207750219807,0.2696716992001928,20.55272549498543,418.5647258758123,1.2330557482893687,296.4162484632029,0.8020319341061684,0.5074774048571515
kongjiang,控江路街道,单位/工人新村,resident_self_build,5878,0.8556259320465391,0.1890097259952444,14.930436658500623,56.58916633333333,0.20618794638741214,58.749038434153135,1.8869237716545624,0.24873754430038353
kongjiang,控江路街道,单位/工人新村,developer_scale_graded,1610,1.8544824662643768,0.27938071516522717,22.800880577639752,90.45029966666682,0.6002386242607687,302.9929591069854,1.0561632676725905,0.23307351072686144
kongjiang,控江路街道,单位/工人新村,shared,1610,1.5563091991816107,0.1700478208253263,31.940717875886836,66.24564388888899,0.22413169636673222,181.8154973558481,2.2926517076167263,0.23804331120729436
laoximen,老西门街道,居民/里弄石库门,current,1581,2.651196152917224,0.3582669489475896,22.83230333523087,104.90536633333352,0.7937979975473491,183.70717627562442,1.2096235520020546,0.21702746092716685
laoximen,老西门街道,居民/里弄石库门,developer_led,1599,5.677799962192872,0.31954498621329924,78.28435254659163,419.6214653333341,0.8773165884505425,98.83982172231606,5.9092220975379695,0.22922726122948914
laoximen,老西门街道,居民/里弄石库门,state_led,1581,2.7278700227373913,0.3582669489475896,22.550604982876422,361.3122348999734,1.8672721756197952,183.70717627562442,0.6329372088351554,0.464846031021134
laoximen,老西门街道,居民/里弄石库门,resident_self_build,4216,1.4071683584247843,0.26979334028534785,15.49595247185326,98.27669966666681,0.4182503283874796,59.26710416342351,1.8587732220178714,0.20879243456385138
laoximen,老西门街道,居民/里弄石库门,developer_scale_graded,1581,3.145442340273276,0.3986053270872999,22.83230333523087,104.90536633333352,0.7937979975473491,191.23482267986046,1.1907349561238298,0.23795581189805218
laoximen,老西门街道,居民/里弄石库门,shared,1581,1.9262901539574397,0.2359604382215479,27.206123331056297,77.56783300000004,0.33905402751562747,116.99424471711502,2.3078855598598933,0.20406047444588019
lujiazui,陆家嘴街道,资本/超高层,current,3263,2.2139394635269616,0.17220246718754237,33.42899031944019,338.0522329999999,1.0017037068065306,225.83994974760506,1.4014845465151748,0.2812437638708686
lujiazui,陆家嘴街道,资本/超高层,developer_led,3409,4.16870888941337,0.17093879095959033,119.74575586584531,480.0,1.0067733891887465,151.8347429702568,6.916845409187895,0.2656620874828264
lujiazui,陆家嘴街道,资本/超高层,state_led,3263,2.2236943213849845,0.17220246718754237,34.975349921192,529.1362369028033,1.527350927003473,225.83994974760506,1.0950522550901658,0.5026637546244143
lujiazui,陆家嘴街道,资本/超高层,resident_self_build,11182,0.7100865728759652,0.12879746054676394,15.943186296464557,142.47289966666665,0.45752977595963296,62.257616496552394,1.8586275912151717,0.2578785870986067
lujiazui,陆家嘴街道,资本/超高层,developer_scale_graded,3263,3.6713123647729327,0.23788986137485565,33.42899031944019,338.0522329999999,1.0017037068065306,269.16639435964055,1.2980817556719144,0.3586028453774752
lujiazui,陆家嘴街道,资本/超高层,shared,3263,1.3743056097113866,0.11500038127529276,38.0477994965982,142.47289966666665,0.3811590876487376,153.93991174672706,2.8921508595662377,0.25686299197699203
nanjingxi,南京西路街道,资本/商业,current,1496,3.018177677169868,0.2952160816093573,32.40476811586453,188.23016633333364,0.810123824618407,226.35338917050137,1.4976974119088302,0.1545067075873125
nanjingxi,南京西路街道,资本/商业,developer_led,1514,5.8331190726243065,0.23954512258333016,121.79103755438133,480.0,0.8405394820238495,110.1612733789174,8.203261452148137,0.14378193112353088
nanjingxi,南京西路街道,资本/商业,state_led,1496,3.0239388545447192,0.2952160816093573,31.264963862644898,412.11727175407844,1.1497837160654822,226.35338917050137,1.353392087874326,0.32808970280470956
nanjingxi,南京西路街道,资本/商业,resident_self_build,4648,1.1337610087520769,0.2196623410815317,15.834267571744121,88.95416633333335,0.4038162380533306,59.401782855608,1.8818341074558573,0.15698674193435164
nanjingxi,南京西路街道,资本/商业,developer_scale_graded,1496,3.977850443495374,0.3538685544024463,32.40476811586453,188.23016633333364,0.810123824618407,243.90211629976204,1.4318388915027227,0.16005543223316807
nanjingxi,南京西路街道,资本/商业,shared,1496,2.2313716915820723,0.19058490460228827,39.98732765051246,88.4488996666667,0.3213173170482456,139.9667816766127,3.2037274195953644,0.17066947631065718
pengpu,彭浦新村街道,单位/工人新村,current,2292,1.5369803431331732,0.2501367991632224,19.58987680453752,85.166633,0.41529875743744904,305.66530496530254,1.052134333946693,0.14634215812450285
pengpu,彭浦新村街道,单位/工人新村,developer_led,2330,2.972326575534383,0.1612493775044017,75.24569574935622,340.666532,0.4616855261697,145.79675976713654,6.100115016283884,0.1373510453961755
pengpu,彭浦新村街道,单位/工人新村,state_led,2292,1.5926492389879277,0.2501367991632224,21.02898739364955,182.85463741052203,1.059782714683179,305.66530496530254,0.8422126815461944,0.36779298296919827
pengpu,彭浦新村街道,单位/工人新村,resident_self_build,7949,0.778985011533868,0.18240847362608745,14.190453332419173,56.84356633333334,0.1365176779822134,71.00633822673359,1.6636143155957277,0.15978559693723896
pengpu,彭浦新村街道,单位/工人新村,developer_scale_graded,2292,1.5797478017113609,0.2539756978371795,19.58987680453752,85.166633,0.41529875743744904,306.0723907268232,1.0508768614783874,0.14238033448464582
pengpu,彭浦新村街道,单位/工人新村,shared,2292,1.4356330296925437,0.15593133941290863,31.400954107843713,64.5070438888889,0.13869890931281859,186.12022991775098,2.3090487794444936,0.15280548506580094
tianshan,天山路街道,未分类,current,1373,2.061283707680516,0.24841846347446253,25.97822372590435,147.3475663333334,0.7452309147052971,259.85108843893966,1.1977556948400498,0.19985906660936698
tianshan,天山路街道,未分类,developer_led,1399,4.317203030767536,0.25590952441361287,93.3831824100548,480.0,0.8669339418757948,140.10884696438194,6.11630910428998,0.22648026852013173
tianshan,天山路街道,未分类,state_led,1373,2.1148038121726507,0.24841846347446253,25.133343869771927,334.04954137163094,1.5894081804326807,259.85108843893966,0.7640374265358215,0.5059778269360614
tianshan,天山路街道,未分类,resident_self_build,4427,0.9490775763983125,0.1872234237845701,15.339055243987652,83.03149966666668,0.3303392746844414,62.19470312238734,1.8357479318994312,0.22998657059668076
tianshan,天山路街道,未分类,developer_scale_graded,1373,2.7976323409065738,0.2900140367453069,25.97822372590435,147.3475663333334,0.7452309147052971,287.1168090148743,1.1581361850391725,0.17880515910720107
tianshan,天山路街道,未分类,shared,1373,1.6057506517496336,0.16595356891106844,33.097510828008424,83.03149966666668,0.30022092629381497,167.406190718137,2.4137005174495814,0.20668102481490228
waitan,外滩街道,资本/金融遗产,current,1375,2.895372729177443,0.30373951049324427,32.73739363030303,161.64449966666672,0.6175629452817512,330.0579915713342,1.5833394532238265,0.23649830710529757
waitan,外滩街道,资本/金融遗产,developer_led,1503,5.774514184140247,0.24223708060506752,117.27860204213796,480.0,0.6958254844299923,195.95074465324106,7.9646922739696295,0.23228949334199045
waitan,外滩街道,资本/金融遗产,state_led,1375,2.9173276247013895,0.30373951049324427,32.98308029249441,486.86745627242317,1.3035007072097475,330.0579915713342,1.1106049918006404,0.48032305137712905
waitan,外滩街道,资本/金融遗产,resident_self_build,6377,1.195394114947738,0.22035994133565046,15.64785372231457,90.75296633333346,0.34385911568489663,62.970523407999934,1.8512431037623256,0.2250943478629562
waitan,外滩街道,资本/金融遗产,developer_scale_graded,1375,4.314710216439915,0.4125807988774574,32.73739363030303,161.64449966666672,0.6175629452817512,407.1842646460866,1.3857511736253945,0.29533969546088396
waitan,外滩街道,资本/金融遗产,shared,1375,2.553118867971044,0.19747379814071053,45.3073411348121,90.75296633333346,0.23845837582843465,206.08583842508642,3.1019697410298606,0.23694055357961832
xujiahui,徐家汇街道,资本/商业,current,2719,2.537474548515749,0.24271983911331052,35.77328051746966,121.38836633333334,0.616773026876952,211.3562173749263,2.033956699601924,0.20718444543723016
xujiahui,徐家汇街道,资本/商业,developer_led,2803,5.639070178233051,0.3103938992492307,124.5765154078963,480.0,0.7352719911658749,145.33718094873504,9.267059275069357,0.19989352278152797
xujiahui,徐家汇街道,资本/商业,state_led,2719,2.5414443108796383,0.24271983911331052,38.66206658349003,600.0,1.790699160760277,211.3562173749263,1.3428074470156608,0.45774160212027387
xujiahui,徐家汇街道,资本/商业,resident_self_build,8585,1.1317906519688927,0.18715402201422443,16.77160615575228,99.01989966666662,0.48913493745978454,61.6501498406311,1.9081754544367302,0.17862646425624368
xujiahui,徐家汇街道,资本/商业,developer_scale_graded,2719,3.650887046256884,0.33164010267058536,35.77328051746966,121.38836633333334,0.616773026876952,259.8095475422664,1.7909336761837653,0.2839061315103425
xujiahui,徐家汇街道,资本/商业,shared,2719,2.3033723149869236,0.16964773652684273,48.2620257878264,91.98117183333333,0.24189387700182738,144.34640685823337,3.8586796914918575,0.17291113917924536
yuyuan,豫园街道,居民/里弄石库门,current,1636,2.5120974929861086,0.33932238821942906,23.192863032599842,101.16209966666653,0.7576036899512076,144.09344170225035,1.3959901192287265,0.21496901609382502
yuyuan,豫园街道,居民/里弄石库门,developer_led,1666,5.256856122291599,0.31342061396158416,83.27397680452181,404.4593320000006,0.8247924848215207,76.23691915939058,7.358198497527402,0.24920339622279042
yuyuan,豫园街道,居民/里弄石库门,state_led,1636,2.522519030592761,0.33932238821942906,21.242279305340436,600.0,2.6065239693892637,144.09344170225035,0.7341478484392812,0.5443927961635329
yuyuan,豫园街道,居民/里弄石库门,resident_self_build,3888,1.3155528878215261,0.2619301665497439,15.700928251766117,101.16209966666653,0.3869078370138402,60.25062777089923,1.8931288154404164,0.2627768308823369
yuyuan,豫园街道,居民/里弄石库门,developer_scale_graded,1636,3.049234583680083,0.4082532371486921,23.192863032599842,101.16209966666653,0.7576036899512076,174.08955358578345,1.2978886076583844,0.2174632001257354
yuyuan,豫园街道,居民/里弄石库门,shared,1636,1.9749401340547061,0.22503872934201968,29.974916462564526,74.06223299999999,0.29859594700950565,92.12088793736127,2.9047852557007356,0.22838967497224402
七宝镇,七宝镇,镇,current,9979,1.9486247132703791,0.2737444516662959,20.086021596051708,123.12849966666666,0.7668325347472169,346.84393063225815,0.8779979006009994,0.19817192397622913
七宝镇,七宝镇,镇,developer_led,10841,4.055595984067941,0.2889763544903984,75.34049933889862,480.0,0.8738857094602828,232.02021256471676,4.870786957271818,0.2089384242569409
七宝镇,七宝镇,镇,state_led,9979,1.966437530881597,0.2737444516662959,21.826864643556284,441.29840887517497,1.3602083190956415,346.84393063225815,0.7214092810241535,0.45014798305023385
七宝镇,七宝镇,镇,resident_self_build,48408,0.9132173597658075,0.20378766493343675,14.59106873062717,105.08889966666668,0.18935606693046986,64.21915644837577,1.7874752052416345,0.21309926433038617
七宝镇,七宝镇,镇,developer_scale_graded,9979,2.3244452587153295,0.31770883306775033,20.086021596051708,123.12849966666666,0.7668325347472169,368.14066115122534,0.8548214943309409,0.19422321431794243
七宝镇,七宝镇,镇,shared,9979,1.4705995507129934,0.18399315799553304,26.29007451704804,76.94804961111114,0.30189271137065377,224.71582353441798,1.7542598713016821,0.19906650933095232
